round,minutes_used,timing_tag,is_correct,player_rating,landmark,landmark_Glucksman Gallery,landmark_Honan Collegiate Chapel,landmark_Boole Library,landmark_The Quad / Aula Maxima,landmark_Brookfield Health Sciences Complex,landmark_Student Centre,landmark_Geography Building
82,7.182832011537491,in_time,1,0.18999879159620087,Boole Library,0.005437468229079151,0.0044049932099350505,-0.02883215603865342,-0.020208355744738157,-0.012239385655722329,-0.02949158464181415,-0.050703774781818686
83,6.024097062642639,in_time,1,0.20144060477592984,Boole Library,0.005437468229079151,0.0044049932099350505,-0.03597948210655866,-0.020208355744738157,-0.012239385655722329,-0.02949158464181415,-0.050703774781818686
84,6.529053421037903,in_time,0,0.18686970855982127,Glucksman Gallery,0.014094976856156925,0.0044049932099350505,-0.03597948210655866,-0.020208355744738157,-0.012239385655722329,-0.02949158464181415,-0.050703774781818686
85,6.823048656805055,in_time,0,0.17308558883872868,Boole Library,0.014094976856156925,0.0044049932099350505,-0.027263413508496558,-0.020208355744738157,-0.012239385655722329,-0.02949158464181415,-0.050703774781818686
86,12.381145928418494,timeout,0,0.17083006453786886,The Quad / Aula Maxima,0.014094976856156925,0.0044049932099350505,-0.027263413508496558,-0.018730113638386572,-0.012239385655722329,-0.02949158464181415,-0.050703774781818686
87,9.491996052863982,in_time,1,0.17066931382884293,Honan Collegiate Chapel,0.014094976856156925,0.004507873663711649,-0.027263413508496558,-0.018730113638386572,-0.012239385655722329,-0.02949158464181415,-0.050703774781818686
88,10.496196304995362,timeout,0,0.16831536335535557,Student Centre,0.014094976856156925,0.004507873663711649,-0.027263413508496558,-0.018730113638386572,-0.012239385655722329,-0.028110822173266808,-0.050703774781818686
89,8.712645421012418,in_time,1,0.17073422016613926,Brookfield Health Sciences Complex,0.014094976856156925,0.004507873663711649,-0.027263413508496558,-0.018730113638386572,-0.013750366307711426,-0.028110822173266808,-0.050703774781818686
90,7.831673205126544,in_time,1,0.1765503586090772,Glucksman Gallery,0.010594999740052683,0.004507873663711649,-0.027263413508496558,-0.018730113638386572,-0.013750366307711426,-0.028110822173266808,-0.050703774781818686
91,7.284042134747071,in_time,1,0.18388043677307714,Brookfield Health Sciences Complex,0.010594999740052683,0.004507873663711649,-0.027263413508496558,-0.018730113638386572,-0.018385371327931645,-0.028110822173266808,-0.050703774781818686
92,9.456874257483511,in_time,1,0.18342321598630532,The Quad / Aula Maxima,0.010594999740052683,0.004507873663711649,-0.027263413508496558,-0.01842692980116889,-0.018385371327931645,-0.028110822173266808,-0.050703774781818686
93,4.863699692191787,in_time,1,0.19901881342348876,Boole Library,0.010594999740052683,0.004507873663711649,-0.03724459586829395,-0.01842692980116889,-0.018385371327931645,-0.028110822173266808,-0.050703774781818686
94,7.745232534706962,in_time,1,0.20440601678553147,Brookfield Health Sciences Complex,0.010594999740052683,0.004507873663711649,-0.03724459586829395,-0.01842692980116889,-0.021833181479638985,-0.028110822173266808,-0.050703774781818686
95,8.070308398066807,in_time,1,0.20849675429110154,Student Centre,0.010594999740052683,0.004507873663711649,-0.03724459586829395,-0.01842692980116889,-0.021833181479638985,-0.030541392998857504,-0.050703774781818686
96,10.398826471488787,timeout,0,0.20563104989565145,Boole Library,0.010594999740052683,0.004507873663711649,-0.03538851686483518,-0.01842692980116889,-0.021833181479638985,-0.030541392998857504,-0.050703774781818686
97,5.983114643271429,in_time,0,0.1891710667317345,Glucksman Gallery,0.020625529781483028,0.004507873663711649,-0.03538851686483518,-0.01842692980116889,-0.021833181479638985,-0.030541392998857504,-0.050703774781818686
98,7.722291878952028,in_time,1,0.1943829540792499,Geography Building,0.020625529781483028,0.004507873663711649,-0.03538851686483518,-0.01842692980116889,-0.021833181479638985,-0.030541392998857504,-0.05399939093761883
99,8.267630605089645,in_time,1,0.19845200406420452,Glucksman Gallery,0.018114839365234447,0.004507873663711649,-0.03538851686483518,-0.01842692980116889,-0.021833181479638985,-0.030541392998857504,-0.05399939093761883
100,8.378205094227974,in_time,1,0.20188347003533785,Honan Collegiate Chapel,0.018114839365234447,0.0022853583372124788,-0.03538851686483518,-0.01842692980116889,-0.021833181479638985,-0.030541392998857504,-0.05399939093761883
101,8.433251759719472,in_time,0,0.1937696160066903,Brookfield Health Sciences Complex,0.018114839365234447,0.0022853583372124788,-0.03538851686483518,-0.01842692980116889,-0.01657794506250783,-0.030541392998857504,-0.05399939093761883
102,9.815498385761927,in_time,1,0.19194551775406526,The Quad / Aula Maxima,0.018114839365234447,0.0022853583372124788,-0.03538851686483518,-0.01720327067005915,-0.01657794506250783,-0.030541392998857504,-0.05399939093761883
103,7.093386559571633,in_time,1,0.19959924187852898,Student Centre,0.018114839365234447,0.0022853583372124788,-0.03538851686483518,-0.01720327067005915,-0.01657794506250783,-0.035147173887915314,-0.05399939093761883
104,5.05418182431721,in_time,0,0.17950371043203284,Boole Library,0.018114839365234447,0.0022853583372124788,-0.0222181596568021,-0.01720327067005915,-0.01657794506250783,-0.035147173887915314,-0.05399939093761883
105,6.5217672864043985,in_time,1,0.18900540292480547,Geography Building,0.018114839365234447,0.0022853583372124788,-0.0222181596568021,-0.01720327067005915,-0.01657794506250783,-0.035147173887915314,-0.06008047413299332
106,4.892003316785562,in_time,0,0.16872843904679818,The Quad / Aula Maxima,0.018114839365234447,0.0022853583372124788,-0.0222181596568021,-0.0034439023242685014,-0.01657794506250783,-0.035147173887915314,-0.06008047413299332
107,5.982236391732853,in_time,1,0.18111302754061898,Glucksman Gallery,0.010378592426769643,0.0022853583372124788,-0.0222181596568021,-0.0034439023242685014,-0.01657794506250783,-0.035147173887915314,-0.06008047413299332
108,6.522587086296981,in_time,1,0.19051435833730543,Geography Building,0.010378592426769643,0.0022853583372124788,-0.0222181596568021,-0.0034439023242685014,-0.01657794506250783,-0.035147173887915314,-0.06616959230024219
109,8.941870045214806,in_time,1,0.19160266553565342,Student Centre,0.010378592426769643,0.0022853583372124788,-0.0222181596568021,-0.0034439023242685014,-0.01657794506250783,-0.035810376148733225,-0.06616959230024219
110,7.385451267467318,in_time,1,0.19815601425726387,Student Centre,0.010378592426769643,0.0022853583372124788,-0.0222181596568021,-0.0034439023242685014,-0.01657794506250783,-0.0398539317429184,-0.06616959230024219
111,3.8749809250437846,in_time,0,0.1744062907172971,Glucksman Gallery,0.02539617960301861,0.0022853583372124788,-0.0222181596568021,-0.0034439023242685014,-0.01657794506250783,-0.0398539317429184,-0.06616959230024219
112,6.324483885463135,in_time,1,0.18558439422514134,Glucksman Gallery,0.0182421933579983,0.0022853583372124788,-0.0222181596568021,-0.0034439023242685014,-0.01657794506250783,-0.0398539317429184,-0.06616959230024219
113,8.485087619559163,in_time,0,0.17761143393690804,Student Centre,0.0182421933579983,0.0022853583372124788,-0.0222181596568021,-0.0034439023242685014,-0.01657794506250783,-0.03487348449986939,-0.06616959230024219
114,5.111372378692973,in_time,0,0.15841068573876543,The Quad / Aula Maxima,0.0182421933579983,0.0022853583372124788,-0.0222181596568021,0.009734091077137678,-0.01657794506250783,-0.03487348449986939,-0.06616959230024219
115,6.096374795968272,in_time,1,0.1703200596614949,The Quad / Aula Maxima,0.0182421933579983,0.0022853583372124788,-0.0222181596568021,0.0014678351164596239,-0.01657794506250783,-0.03487348449986939,-0.06616959230024219
116,5.765457434503659,in_time,0,0.15322794615336038,Boole Library,0.0182421933579983,0.0022853583372124788,-0.010884351769055145,0.0014678351164596239,-0.01657794506250783,-0.03487348449986939,-0.06616959230024219
117,6.708878992266053,in_time,1,0.16221942817049453,Geography Building,0.0182421933579983,0.0022853583372124788,-0.010884351769055145,0.0014678351164596239,-0.01657794506250783,-0.03487348449986939,-0.07206249591966404
118,12.486809419202356,timeout,0,0.15949122560753168,Geography Building,0.0182421933579983,0.0022853583372124788,-0.010884351769055145,0.0014678351164596239,-0.01657794506250783,-0.03487348449986939,-0.07025342042336782
119,6.547259738335972,in_time,1,0.16891325191306703,Geography Building,0.0182421933579983,0.0022853583372124788,-0.010884351769055145,0.0014678351164596239,-0.01657794506250783,-0.03487348449986939,-0.07657399471575192
120,6.480941778941407,in_time,0,0.15479111706473553,Glucksman Gallery,0.027388914149444308,0.0022853583372124788,-0.010884351769055145,0.0014678351164596239,-0.01657794506250783,-0.03487348449986939,-0.07657399471575192
121,10.206100797149514,timeout,0,0.15279036988453204,Brookfield Health Sciences Complex,0.027388914149444308,0.0022853583372124788,-0.010884351769055145,0.0014678351164596239,-0.015266680659453712,-0.03487348449986939,-0.07657399471575192
122,11.082503560076614,timeout,0,0.15088253124066667,Boole Library,0.027388914149444308,0.0022853583372124788,-0.009604517103411283,0.0014678351164596239,-0.015266680659453712,-0.03487348449986939,-0.07657399471575192
123,8.302288929069789,in_time,0,0.14307140068860089,Boole Library,0.027388914149444308,0.0022853583372124788,-0.004304107085938075,0.0014678351164596239,-0.015266680659453712,-0.03487348449986939,-0.07657399471575192
124,7.6778898119049055,in_time,1,0.14957582482512943,Honan Collegiate Chapel,0.027388914149444308,-0.0019775589953654393,-0.004304107085938075,0.0014678351164596239,-0.015266680659453712,-0.03487348449986939,-0.07657399471575192
125,12.684762057001098,timeout,0,0.14814791313439651,Glucksman Gallery,0.028324749416033284,-0.0019775589953654393,-0.004304107085938075,0.0014678351164596239,-0.015266680659453712,-0.03487348449986939,-0.07657399471575192
126,9.842945700371146,in_time,0,0.14498525182182628,Geography Building,0.028324749416033284,-0.0019775589953654393,-0.004304107085938075,0.0014678351164596239,-0.015266680659453712,-0.03487348449986939,-0.07442790311079356
127,10.629713474194702,timeout,0,0.14362301769036698,Glucksman Gallery,0.02922804905400629,-0.0019775589953654393,-0.004304107085938075,0.0014678351164596239,-0.015266680659453712,-0.03487348449986939,-0.07442790311079356
128,7.445852355613618,in_time,0,0.13296971729051665,Boole Library,0.02922804905400629,-0.0019775589953654393,0.003007541445862687,0.0014678351164596239,-0.015266680659453712,-0.03487348449986939,-0.07442790311079356
129,9.068722277148316,in_time,0,0.12772781034464084,Student Centre,0.02922804905400629,-0.0019775589953654393,0.003007541445862687,0.0014678351164596239,-0.015266680659453712,-0.031558886146882195,-0.07442790311079356
130,7.58055817073738,in_time,0,0.1169173421394371,Geography Building,0.02922804905400629,-0.0019775589953654393,0.003007541445862687,0.0014678351164596239,-0.015266680659453712,-0.031558886146882195,-0.06700838605842853
131,4.275565479730364,in_time,1,0.13559165680063354,Boole Library,0.02922804905400629,-0.0019775589953654393,-0.009954236887847887,0.0014678351164596239,-0.015266680659453712,-0.031558886146882195,-0.06700838605842853
132,6.453889382385826,in_time,1,0.14641108100447212,The Quad / Aula Maxima,0.02922804905400629,-0.0019775589953654393,-0.009954236887847887,-0.006126102731176397,-0.015266680659453712,-0.031558886146882195,-0.06700838605842853
133,7.6030254979109015,in_time,1,0.15296160320707541,Boole Library,0.02922804905400629,-0.0019775589953654393,-0.014551917645986638,-0.006126102731176397,-0.015266680659453712,-0.031558886146882195,-0.06700838605842853
134,5.701140753218559,in_time,0,0.1364587874447098,Glucksman Gallery,0.040298626621623534,-0.0019775589953654393,-0.014551917645986638,-0.006126102731176397,-0.015266680659453712,-0.031558886146882195,-0.06700838605842853
135,6.045284578100643,in_time,1,0.14839682237203303,Student Centre,0.040298626621623534,-0.0019775589953654393,-0.014551917645986638,-0.006126102731176397,-0.015266680659453712,-0.039199228500369054,-0.06700838605842853
136,8.536165756810206,in_time,0,0.14106380346118538,Student Centre,0.040298626621623534,-0.0019775589953654393,-0.014551917645986638,-0.006126102731176397,-0.015266680659453712,-0.03444972870757805,-0.06700838605842853
137,8.97877343912142,in_time,1,0.14297495915418124,Honan Collegiate Chapel,0.040298626621623534,-0.0032448494014161644,-0.014551917645986638,-0.006126102731176397,-0.015266680659453712,-0.03444972870757805,-0.06700838605842853
138,9.082061991491127,in_time,1,0.14412519133648613,Student Centre,0.040298626621623534,-0.0032448494014161644,-0.014551917645986638,-0.006126102731176397,-0.015266680659453712,-0.035203576335517864,-0.06700838605842853
139,7.9196090734183295,in_time,1,0.14955981711828328,Brookfield Health Sciences Complex,0.040298626621623534,-0.0032448494014161644,-0.014551917645986638,-0.006126102731176397,-0.018870389734014392,-0.035203576335517864,-0.06700838605842853
140,9.022223110853176,in_time,1,0.15102202785900048,Brookfield Health Sciences Complex,0.040298626621623534,-0.0032448494014161644,-0.014551917645986638,-0.006126102731176397,-0.019851284004326022,-0.035203576335517864,-0.06700838605842853
141,5.571985968064551,in_time,0,0.13332480743930472,Student Centre,0.040298626621623534,-0.0032448494014161644,-0.014551917645986638,-0.006126102731176397,-0.019851284004326022,-0.02346852108395491,-0.06700838605842853
142,9.715147473033648,in_time,1,0.1324947863987246,Student Centre,0.040298626621623534,-0.0032448494014161644,-0.014551917645986638,-0.006126102731176397,-0.019851284004326022,-0.02291171838768707,-0.06700838605842853
